,,,,,,,1 Month 4/1/2024 thru 4/30/2024,1 Month 5/1/2024 thru 5/31/2024,1 Month 6/1/2024 thru 6/30/2024,1 Month 7/1/2024 thru 7/31/2024,1 Month 8/1/2024 thru 8/31/2024,1 Month 9/1/2024 thru 9/30/2024,1 Month 10/1/2024 thru 10/31/2024,1 Month 11/1/2024 thru 11/30/2024,1 Month 12/1/2024 thru 12/31/2024,1 Month 1/1/2025 thru 1/31/2025,1 Month 2/1/2025 thru 2/28/2025,1 Month 3/1/2025 thru 3/31/2025,12 Months 4/1/2024 thru 3/31/2025,Diff,,,,,,,,,,,,,,,,
Classes of Trade,OnOff Premises,Retail Accounts,Address,City,State,Zip Code,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MASONS STEAKHOUSE,1170 HANCOCK ST,QUINCY,MA,02169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BREW S BROTHERS BREW PUB,3000 W OLIVE AV,BURBANK,CA,91505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,THE BETH,18 SHIPYARD DR STE 1K,HINGHAM,MA,02043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,CEVICHE TAPAS BAR AND REST,332 BEACH DRIVE NE,SAINT PETERSBURG,FL,33701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,FLAMINGO,2315 K ST,SACRAMENTO,CA,95816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,FAIR OAKS BREW PUB,7988 CALIFORNIA AVE,FAIR OAKS,CA,95628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,THE PRIZEFIGHTER,6702 HOLLIS ST,EMERYVILLE,CA,94608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LOCKED BARREL,921 11TH STREET #A,SACRAMENTO,CA,95814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BLOCK PETALUMA,20 GREY ST,PETALUMA,CA,94952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,EVERYWINE,1111 HEIGHTS BLVD UNIT 2,HOUSTON,TX,77008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,PARADISO/BOTANIST/GOOD COMPANIONS,308 N BISHOP AVENUE BUILDING 1 & 2,DALLAS,TX,75208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,WASHINGTON SQUARE TAVERN,714 WASHINGTON ST,BROOKLINE,MA,02446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MOMOSAN,80 CAUSEWAY ST,BOSTON,MA,02114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,FENG RESTAURANT,191 WASHINGTON ST,HUDSON,MA,01749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,APT 115 A,2025 E 7TH STREET SUITE 115,AUSTIN,TX,78702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,RACE LANE LIQUORS,21 RACE LN,EAST HAMPTON,NY,11937,0,0,7,11,32,0,0,0,0,0,0,0,50,50,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,1936 WINE & SPIRITS,65 E 34TH ST,NEW YORK,NY,10016,0,0,2,2,4,4,2,8,6,0,0,4,32,32,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,REMEDY LIQUOR,138-44 101ST AVE,JAMAICA,NY,11435,0,0,0,0,0,0,0,3,5,7,0,14,29,29,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SAKE ONO,1000 BRICKELL AVENUE,MIAMI,FL,33131,0,0,0,0,0,0,0,0,0,0,7,22,29,29,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,GARY S LIQUORS KGB,141 ESSEX ST,NEW YORK,NY,10002,0,23,10,0,0,0,2,0,0,0,0,0,25,25,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L (SPIRITS),3005 EL CAMINO REAL,REDWOOD CITY,CA,94061,5,8,5,0,0,10,0,0,0,0,0,0,23,23,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BURGUNDY & WHITE WINE &LIQUOR,1219 MADISON AVE,NEW YORK,NY,10128,0,0,0,2,0,0,3,2,3,3,2,0,15,15,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,MORTON WILLIAMS WINE & SPIRITS,260 PARK AVE S,NEW YORK,NY,10010,0,0,0,2,2,2,4,0,2,0,3,0,15,15,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L (OFF),3005 EL CAMINO REAL,REDWOOD CITY,CA,94061,0,0,0,0,0,0,6,0,0,2,5,2,15,15,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,GRAND CRU WINE & SPIRITS,555 WEST 42 ST UNIT 1,NEW YORK,NY,10036,0,0,0,2,0,2,3,0,6,0,2,0,15,15,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,REMEDY LIQUOR,1700 W GLENOAKS BLVD  UNIT B,GLENDALE,CA,91203,0,0,0,0,0,0,0,1,5,0,0,8,14,14,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,MARTIN BROTHERS WINE & SPIRITS,2781 BROADWAY,NEW YORK,NY,10025,0,0,0,3,0,3,0,2,2,0,0,2,12,12,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,OF GRAPE & GRAIN,111 SOUTH MONARCH STREET,ASPEN,CO,81611,0,0,0,2,0,0,0,0,4,0,0,6,12,12,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L (WINE),3005 EL CAMINO REAL,REDWOOD CITY,CA,94061,0,0,0,12,0,0,0,0,0,0,0,0,12,12,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,COLUMBUS AVE WINE & SPIRITS,730 COLUMBUS AVE,NEW YORK,NY,10025,0,0,0,3,0,5,0,0,0,3,0,0,11,11,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,FANCY FREE LIQUOR,2001 W BURBANK BL,BURBANK,CA,91506,0,3,0,0,0,4,0,3,0,0,0,0,10,10,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,JENSEN S LIQUOR #2,1516 NW 27TH AVE,MIAMI,FL,33125,0,0,0,0,0,0,0,0,9,0,0,0,9,9,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L WINE TASTING,1400-1408 VINE ST,LOS ANGELES,CA,90028,0,0,5,0,5,5,5,2,0,2,5,0,9,9,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,VINTAGE LIQUORS III,300 SW 18 TERRACE #100,MIAMI,FL,33129,0,1,2,0,2,3,0,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,HERBERT & RIST INC,63 JOBS LANE,SOUTHAMPTON,NY,11968,0,0,8,1,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,VAN WYCK LIQUORS,52 MAPLE ST,CROTON ON HUDSON,NY,10520,0,0,0,0,0,0,0,4,0,2,0,2,8,8,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,MANHATTAN VALLEY W & L CORP,980 COLUMBUS AVE,NEW YORK,NY,10025,0,0,0,0,0,2,3,0,0,0,0,2,7,7,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Bullock s Wine & Spirits,3612 Sandy Plains Rd,Marietta,GA,30066,0,0,0,0,0,0,1,2,0,4,0,0,7,7,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SOPRIS LIQUOR AND WINE,1026 HWY 133,CARBONDALE,CO,81623,0,0,0,0,2,0,0,1,4,0,0,0,7,7,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,CENTRAL PERK WINE & SPIRITS IN,1420 6TH AVENUE,NEW YORK,NY,10019,0,0,0,0,2,0,0,0,0,0,4,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,HAMPTONS PALM BEACH,257-A ROYAL POINCIANA WAY,PALM BEACH,FL,33480,0,0,0,0,1,0,1,2,2,0,0,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,GROVE LIQUORS,2991 SW 32ND AVENUE,MIAMI,FL,33133,0,0,0,2,0,0,3,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,AMBASSADOR WINES & SPIRITS,1020 2ND AVENUE,NEW YORK,NY,10022,0,0,0,2,0,0,2,0,0,2,0,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BROADWAY SPIRITS INC,299 BROADWAY,NEW YORK,NY,10007,0,0,0,0,0,0,0,2,2,0,2,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SPRING STREET WINE SHOP,187 SPRING ST,NEW YORK,NY,10012,0,0,0,0,0,0,0,2,0,4,0,0,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,MY WINE & SPIRITS,1895 SOUTH RD,POUGHKEEPSIE,NY,12601,0,0,0,0,0,0,0,3,0,0,0,3,6,6,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,TNT Package Store,5329 Holly Springs Pkwy,Holly Springs,GA,30188,0,0,0,0,0,0,1,0,1,0,0,4,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,URBAN WINE & SPIRITS,45 1ST AVENUE,NEW YORK,NY,10003,0,0,0,2,0,0,0,3,0,0,0,0,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LIQUOR LIBRARY@LAS TERMINAL 1,5757 WAYNE NEWTON BLVD,LAS VEGAS,NV,89119,0,0,0,0,1,0,2,1,1,0,0,0,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,White Horse Wine & Spirits,497 Highland Ave,Augusta,GA,30909,0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L WINE MERCHANT,855 HARRISON ST,SAN FRANCISCO,CA,94107,0,0,0,0,0,0,5,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,ASPEN GROG SHOP,710 E DURANT ST,ASPEN,CO,81611,0,0,0,1,1,0,0,0,1,0,1,1,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,ADEGA WINE AND SPIRITS INC,31-25 DITMARS BLVD,ASTORIA,NY,11105,0,0,0,2,0,0,0,0,3,0,0,0,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,REMEDY LIQUOR,6506 E HWY 90 ALT,SUGAR LAND,TX,77479,0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LIQUOR & WINE WAREHOUSE,3090 OCEAN AVE,BROOKLYN,NY,11235,0,0,0,0,0,0,2,0,0,0,0,2,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,WINE GEMS,495 NEW ROCHELLE RD,BRONXVILLE,NY,10708,0,0,0,0,0,0,2,0,0,2,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LIQUOR WORLD INSPIRADA ON PREM,2380 VIA INSPIRADA  STE 110,HENDERSON,NV,89044,0,0,0,0,0,0,0,0,4,0,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SUSSEX WINE & SPIRITS,768 2ND AVENUE,NEW YORK,NY,10017,0,0,2,0,0,0,0,0,0,2,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,G & I WINE & SPIRITS INC.,48 WILLOUGHBY ST,BROOKLYN,NY,11201,0,0,0,2,0,0,0,2,0,0,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,WALLY S WAREHOUSE - OFF SALE,10459 JEFFERSON BLVD,CULVER CITY,CA,90232,0,4,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,STEW LEONARDS/WINES & SPIRITS,1 STEW LEONARD DRIVE STORE 2,YONKERS,NY,10710,0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BEVY S LIQUOR WORLD,9749 S PARKER RD,PARKER,CO,80134,0,0,0,0,2,1,0,0,0,1,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BARREL TO BOTTLES WINE&SPIRITS,1456 2ND AVE,NEW YORK,NY,10075,0,0,0,0,0,0,2,0,0,0,0,2,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LANTANA LIQUORS,300 W MANGO STREET,LANTANA,FL,33462,0,0,0,0,0,0,0,0,2,2,0,0,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,HB LIQUORS @ COSTCO,20 STEW LEONARD DRIVE,YONKERS,NY,10710,0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Hilltop Liquor Warehouse,10820 Us Hwy 280,Ellabell,GA,31308,0,0,0,1,0,0,0,0,0,0,2,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,2704 S&A WINES & SPIRITS CORP,42-14 CRESCENT ST,LONG ISLAND CITY,NY,11101,0,0,0,0,0,0,0,1,0,2,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,FLAGAMI LIQUORS LLC,751-753 NW 37 AVENUE,MIAMI,FL,33125,0,0,0,0,0,0,3,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,PORTOFINO WINE BANK,500 SOUTH POINT DRIVE #110,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,3,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BRICKELL WINE BANK,950 BRICKELL BAY DRIVE #110,MIAMI,FL,33131,0,0,0,0,0,0,0,0,0,3,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,GULF LIQUOR ON ALTON RD,1681 ALTON ROAD,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,3,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,ASPEN WINE & SPIRITS,300 PUPPY SMITH ST,ASPEN,CO,81611,0,0,0,1,0,1,0,0,1,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,GREENPOINT WINE & LIQUORS,89 NASSAU AVE,BROOKLYN,NY,11222,0,0,0,0,0,0,0,3,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LEE S LIQUOR #8 EASTERN,10935 S EASTERN AVE,HENDERSON,NV,89052,0,0,0,0,0,0,0,0,1,1,1,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,111 LEX LIQUORS INC,111 LEXINGTON AVE,NEW YORK,NY,10016,0,0,0,1,0,0,2,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,FINE SPIRITS,5660 S FLAMINGO RD,COOPER CITY,FL,33330,0,0,0,0,0,0,0,0,3,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,IBIS LIQUORS,10130 NORTHLAKE BLVD,WEST PALM BEACH,FL,33412,0,0,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Turtle Creek Wine & Spirits,83 Exchange Lane Ste A,Behtlehem,GA,30620,0,0,0,0,0,0,1,1,0,1,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,VINTAGE LIQ & WINE BAR II,3301 NE 1ST AVE,MIAMI,FL,33137,0,0,0,0,2,0,0,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,VALLEY LIQUOR,2973 LOMA VISTA RD,VENTURA,CA,93003,0,0,0,0,0,0,0,0,0,0,3,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Ridgewalk Bottle Shop,311 Ridgewalk Parkway,Woodstock,GA,30188,0,0,0,0,0,0,1,0,0,0,1,2,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,FOUR DOGS FINE WINE & SPIRITS,350 REED ST STE 218,BASALT,CO,81621,0,0,0,0,0,0,1,0,1,1,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Max Beverage,928 Market Place Blvd,Cumming,GA,30041,0,0,0,0,1,0,0,2,0,1,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,AZUL SPIRITS & WINE (ON),1414 20TH STREET  #1412-1414,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,1,2,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Liberty World Beverage,3700 Village Way,Braselton,GA,30517,0,0,0,0,0,0,1,0,0,2,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,The Beverage Superstore of Grayson,2265 Loganville Hwy,Grayson,GA,30017,0,0,0,0,0,0,1,1,1,0,0,1,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BOTTLE BARN,3331 INDUSTRIAL DR #A,SANTA ROSA,CA,95403,0,1,0,0,1,0,1,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,The Grove Wine & Spirits,1841 Walnut Grove Pkwy,Covington,GA,30014,0,0,0,0,0,0,1,0,0,2,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Capitol City Package Store,784 Collier Rd NW,Atlanta,GA,30318,0,0,0,0,1,0,1,0,0,1,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Affordable Spirits Atlanta,1151 Chattahoochee Ave,Atlanta,GA,30318,0,0,0,0,0,0,1,0,1,1,1,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Kenny 18 Bottle Shop,1989 Hosea L Williams Dr SE Ste C,Atlanta,GA,30317,0,0,0,0,1,0,2,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Barrel Town,6300 Powers Ferry Rd Ste 500,Sandy Springs,GA,30339,0,0,0,0,1,0,0,0,1,1,0,0,3,3,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Duncan Corners Bottle Shoppe,7437 Spout Springs Rd,Flowery Branch,GA,30542,0,0,0,0,0,0,1,0,0,1,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,ADI Shakti Trading 07 Inc,Ste B 1116A GA Highway 30,Port Wentworth,GA,31407,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Pooler Spirits Warehouse,1032 US Highway 80 W,Pooler,GA,31322,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Reliance Enterprises LLC,Ste 110 100 Zoya Lane,Pooler,GA,31322,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Liquor Depot,903 N Veterans Blvd,Glennville,GA,30427,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Liquor Land,1009 Towne Center Blvd #10,Pooler,GA,31322,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,One Stop Liquor And Wine,976 SE Broad St,Metter,GA,30439,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Verunihi LLC,3991 Ga Hwy 67,Pembroke,GA,31321,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Port City Spirit,6 Magnolia Blvd,Port Wentworth,GA,31407,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Blue Mile WIne & Spirits LLC,12 Brannen St,Statesboro,GA,30458,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Bootliquors  LLC,2823 Northside Dr W,Statesboro,GA,30458,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Whiskey Business,1410 Northside Dr E,Statesboro,GA,30458,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,S Boro Liquors,860 Buckhead Dr,Statesboro,GA,30458,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SPEC S 061 WINE MAIN,4970 US 290 WEST BLDG 6,AUSTIN,TX,78735,0,0,0,0,0,0,0,0,0,1,1,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,NEW YORK WINE EXCHANGE,9 BROADWAY,NEW YORK,NY,10004,0,0,0,0,0,0,0,2,0,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L MERCHANT,855 HARRISON ST,SAN FRANCISCO,CA,94107,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,NETCOST LIQUORS,3161 AMBOY ROAD,STATEN ISLAND,NY,10306,0,0,0,0,0,0,0,2,0,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,QWIK KORNER,1170 E YORBA LINDA BLVD,PLACENTIA,CA,92870,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BASECAMP WINE AND SPIRITS,223 LUSHER CT UNIT 1,FRISCO,CO,80443,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,HOUSE OF AMBROSE WINE/SPIRITS,3331 BARHAM BL,LOS ANGELES,CA,90068,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LEE S LIQUOR 118 BLUE DIAMOND,4605 BLUE DIAMOND RD,LAS VEGAS,NV,89139,0,0,0,0,0,0,0,0,1,1,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SANTA MONICA LIQUOR,1001 WILSHIRE BL,SANTA MONICA,CA,90401,0,0,0,0,0,0,0,0,2,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,SUPER DUPER LIQUOR,614-B BELVEDERE RD,WEST PALM BEACH,FL,33403,0,0,0,0,0,0,0,0,2,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,K & L WINE MERCHANTS,920 BING ST,SAN CARLOS,CA,94070,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,THORNWOOD WINES & SPIRITS,1004 BROADWAY,THORNWOOD,NY,10594,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,WINE HOUSE,2311 COTNER AV,LOS ANGELES,CA,90064,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Dacula Cork And Bottle,2200 Hurricane Shola Rd,Dacula,GA,30019,0,0,0,0,0,0,1,0,0,2,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Browns Package Store,2896 Browns Bridge Rd,Gainesville,GA,30504,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,CENTRAL PARK FINE WINE & SPIRI,2955 ULSTER STREET #101/102,DENVER,CO,80238,0,0,0,0,0,0,0,0,2,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,LIQUOR WORLD LV WESTERN #112,3301 WESTERN AVE,LAS VEGAS,NV,89109,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,NORMANDIE WINES,1834 SECOND AVE,NEW YORK,NY,10128,0,0,0,0,2,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,CAPPY S WAREHOUSE W & S INC,670 MERRICK RD,LYNBROOK,NY,11563,0,0,0,0,0,0,0,0,2,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,MR D,3020 NW 7TH AVE STE 2,MIAMI,FL,33127,0,0,0,0,0,0,0,0,1,0,1,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,STAR LIQUORS,11924 FOREST HILL BLVD #16,WELLINGTON,FL,33414,0,0,0,0,0,0,0,0,0,0,2,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,BEST BUY LIQUORS,1613 NEPTUNE AVE,BROOKLYN,NY,11224,0,0,2,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,KAPPY S FINE WINE & SPIRITS,325 BENNETT HWY,MALDEN,MA,02148,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,
LIQUOR/PACKAGE STORE,OFF,Dunwoody Beverage,1418 Dunwoody Vilg Pkwy,Dunwoody,GA,30338,0,0,0,0,0,0,0,2,0,0,0,0,2,2,,,,,,,,,,,,,,,,
